BSE cases,Classical BSE cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tot cBSE/
Country
",Atypical BSE,,,,,,,,,,,,,,,,,,,,,,,"tot atyp/
Country","tot c&atyp/
Country",,,,,,,,,,,,,,,,,,,,
Country,Up to 1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,
SI,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,,,,,,,,,,,,,,,,,,,,
SK,0,0,0,0,0,0,0,0,0,0,0,5,6,2,7,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,,,,,,,
UK,24’595,25’359,37’280,35’090,24’438,14’562,8’149,4’393,3’235,2’301,1’443,1’203,1’123,610,330,206,128,61,40,10,10,6,2,2,1,1,0,0,1,0,0,1,0,0,184’580,0,0,0,0,2,1,4,2,1,1,2,1,1,0,1,0,0,0,0,0,0,0,1,17,184’597,,,,,,,,,,,,,,,,,,,,
tot EU27(28),24’628,25’382,37’301,35’110,24’478,14’596,8’266,4’515,3’471,2’591,1’924,2’174,2’129,1’334,848,540,322,153,115,54,36,21,10,2,3,2,1,0,1,0,0,1,,,190’008,2,8,8,6,7,7,13,11,11,8,7,8,5,8,3,4,6,3,7,4,6,1,3,146,190’154,,,,,,,,,,,,,,,,,,,,
tot c&atyp/Y,,,,,,,,,,,,2’176,2’137,1’342,854,547,329,166,126,65,44,28,18,7,11,5,5,6,4,7,4,7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,5,6,,,,,,,,,,,,,,,,,,,,
CAN,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,5,3,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21,,,,,,,,,,,,,,,,,,,,
ISR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
JPN,0,0,0,0,0,0,0,0,0,0,0,3,2,4,5,7,10,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,,,,,,,,,,,,,,,,,,,,
LI,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
CH,2,8,15,29,64,68,45,38,14,50,33,42,24,21,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,2,6,470,,,,,,,,,,,,,,,,,,,,
USA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,4,7,,,,,,,,,,,,,,,,,,,,
tot non EU,2,8,15,30,64,68,45,38,16,50,33,45,27,27,9,12,21,6,5,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,527,,,,,,,,,,,,,,,,,,,,,,,,17,544,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
